hardware alarms,cpu errors,low voltage,overheating alarm,fan degradaded,baseband processing fault,synchronization failure,low disk performace,tlpm,tlcm,number of PM,priority,other alarms,failure
0,0,2,1,1,0,0,0,118,156,3,3,0,1
0,0,1,3,3,0,0,0,156,53,1,3,0,1
2,0,2,0,0,0,2,0,134,180,2,2,0,2
2,0,1,2,2,0,0,0,98,89,2,3,0,2
1,0,1,1,1,0,0,0,23,158,3,4,0,1
0,0,2,1,0,0,0,0,41,193,3,4,0,1
1,0,3,0,0,1,0,0,248,148,1,1,0,2
0,0,4,3,3,0,0,0,127,66,1,2,0,2
0,0,1,0,0,0,0,0,100,133,1,1,0,0
0,0,2,4,3,0,0,0,52,130,2,2,0,2
1,0,2,3,3,0,1,0,76,123,1,1,0,2
1,2,1,3,3,0,0,0,70,100,1,2,0,2
1,0,2,2,1,1,0,0,12,230,2,3,0,2
1,1,1,4,3,0,0,0,184,7,1,2,1,3
1,0,1,0,0,0,0,0,10,193,3,3,0,0
1,0,4,0,0,0,0,0,163,194,2,3,1,2
0,0,2,0,0,1,0,0,195,125,1,1,0,1
1,0,1,3,3,0,0,1,202,177,1,3,0,2
1,0,3,1,1,0,0,0,98,23,1,2,0,1
1,0,1,3,3,0,0,0,178,125,1,2,0,2
2,0,1,0,0,0,0,0,171,112,1,2,0,1
2,0,2,2,2,0,0,0,84,172,2,3,0,2
1,0,2,1,1,0,0,0,300,77,1,2,0,1
1,0,0,4,3,0,0,0,95,11,1,1,0,2
2,0,1,2,1,0,0,0,19,119,2,3,0,2
2,0,0,1,1,2,0,0,175,149,2,3,1,3
1,0,2,0,0,0,0,0,51,194,3,2,0,1
1,0,1,0,0,0,0,0,157,146,1,2,2,1
0,0,4,4,2,0,0,0,322,15,1,2,0,2
0,0,1,0,0,0,0,0,24,146,4,4,0,0
0,0,2,1,1,0,0,0,117,74,3,4,1,1
1,0,1,0,0,0,0,1,30,142,3,3,0,1
0,0,1,1,0,0,0,0,43,223,4,4,0,0
0,0,2,1,1,0,0,0,94,153,3,4,0,1
0,0,1,1,1,0,0,0,222,91,1,2,0,0
1,0,1,1,1,0,0,0,354,173,1,1,0,1
1,0,1,1,1,0,0,0,143,241,2,3,0,1
0,0,1,2,2,2,1,0,79,40,1,3,0,3
2,0,4,0,0,0,0,0,160,316,2,2,0,2
1,0,3,3,3,0,0,0,32,46,1,2,0,2
0,0,1,0,0,0,0,0,258,159,1,2,2,1
1,0,2,2,2,1,0,0,72,154,1,2,0,3
1,0,0,2,2,0,0,0,24,93,1,2,0,1
0,0,3,1,1,0,0,0,42,170,3,2,0,1
0,0,2,1,1,1,0,0,125,94,2,2,0,2
0,0,2,2,1,0,0,0,60,131,3,4,0,1
0,0,0,1,1,0,0,0,10,79,2,3,0,0
0,0,2,1,1,1,1,2,10,150,3,2,0,2
3,0,4,4,3,0,0,0,42,106,1,2,2,5
0,0,2,3,3,0,0,0,93,134,1,2,0,2
0,0,1,2,2,0,0,0,252,134,1,2,0,1
1,0,2,3,3,1,0,0,251,103,1,2,0,3
1,0,2,4,2,2,0,1,68,252,2,3,0,5
2,0,2,1,1,2,0,0,23,115,1,1,0,4
0,0,3,0,0,0,0,0,152,109,1,2,0,1
1,0,0,2,2,0,0,0,130,95,2,2,0,1
0,0,1,0,0,0,0,0,56,114,2,3,0,0
2,0,0,1,1,0,0,0,62,198,3,3,0,1
1,0,2,2,2,0,0,0,29,73,1,3,2,2
3,0,1,0,0,0,0,0,16,164,1,3,1,2
1,0,1,0,0,0,0,0,61,127,3,2,0,0
0,0,0,0,0,0,0,0,56,153,3,3,0,0
0,0,2,1,1,0,1,0,143,139,1,2,3,2
1,0,2,3,3,0,0,0,159,65,1,3,0,2
2,0,2,3,3,0,0,0,158,114,1,2,0,3
2,0,2,3,3,0,0,0,42,91,1,2,0,3
0,0,1,0,0,0,0,0,247,99,1,1,0,0
1,0,0,1,0,0,0,0,13,121,2,2,0,0
1,0,3,0,0,0,0,0,113,146,3,4,0,1
2,0,2,2,2,3,1,0,181,204,1,2,3,6
2,0,1,1,1,1,0,0,339,103,1,3,0,2
2,0,0,2,1,1,0,1,110,153,1,3,0,3
0,0,0,0,0,0,0,0,81,21,1,3,0,0
1,0,0,1,1,0,0,0,23,82,2,2,0,0
0,0,0,2,2,0,0,0,103,192,3,3,0,0
0,0,1,2,2,0,0,0,166,22,1,1,0,1
0,0,3,1,1,0,0,0,270,189,1,1,0,1
1,1,0,3,3,0,0,0,107,81,1,1,0,2
1,0,2,1,1,0,0,0,149,52,1,1,0,1
2,0,2,1,0,1,0,0,132,87,1,1,0,2
1,0,1,3,3,0,0,0,289,117,1,1,0,2
0,0,2,1,1,0,0,0,49,85,3,3,0,1
2,0,2,0,0,3,1,0,170,154,1,1,0,4
0,0,3,0,0,0,0,0,117,176,3,4,0,1
0,0,0,1,1,0,0,0,30,71,2,3,0,0
2,0,1,1,0,0,0,0,93,224,3,3,0,1
1,0,2,2,1,0,0,0,67,193,2,3,4,3
1,0,0,1,0,0,0,0,145,40,2,2,0,0
0,0,3,3,2,0,0,0,90,134,2,4,3,3
2,0,1,0,0,0,0,0,89,184,3,4,0,1
1,0,0,3,3,0,0,0,50,107,2,3,0,1
1,0,2,1,1,0,0,0,116,140,1,2,3,2
2,0,0,1,1,0,0,1,60,251,4,4,0,1
